text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"05 Agt 2025
					16:57:58",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/5799f96456_9e21774f77.pdf,Laporan Bulanan Registrasi Pemegang Efek [],SMGR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/2ee769f86a_68869fb261.pdf,20250805_SMGR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31930384_lamp1.pdf,,
"14 Agt 2025
					16:13:27",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/a973ea5899_a3c24e7802.pdf,Laporan Hasil Pemeringkatan Pemeringkatan Tahunan [],SMGR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/2bb58a7f76_b3067673cd.pdf,20250814_SMGR_Laporan Hasil Pemeringkatan_31932977_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/9380a27459_fd801cf821.pdf,20250814_SMGR_Laporan Hasil Pemeringkatan_31932977_lamp1.pdf
"14 Agt 2025
					16:25:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/4e7f6855c3_a0785125b5.pdf,Laporan Hasil Pemeringkatan Pemeringkatan Tahunan (KOREKSI) [],SMGR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/cbaa8d3131_41fe00d85e.pdf,20250814_SMGR_Laporan Hasil Pemeringkatan_31933043_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/ff3a86293d_c1837c5bb2.pdf,20250814_SMGR_Laporan Hasil Pemeringkatan_31933043_lamp2.pdf
"27 Agt 2025
					17:00:32",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/b68934501c_1ab80dad35.pdf,Rencana Penyelenggaraan Public Expose - Tahunan [],SMGR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/8bdf20cc16_a76320da51.pdf,20250827_SMGR_Public Expose_31935421_lamp1.pdf,,
"07 Agt 2025
					16:13:11",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/9d58918ba5_a45db92603.pdf,Laporan Bulanan Registrasi Pemegang Efek [],SMRA,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/4d5e2c829e_677be2c32d.pdf,20250805_SMRA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31930163_lamp1.pdf,,
"04 Agt 2025
					16:52:46",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/0822138cbe_0cb2dab7b5.pdf,Penjelasan atas Pemberitaan Media Massa [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/a546e897fd_10eca45e85.pdf,20250804_TLKM_Tanggapan atas Permintaan Penjelasan Bursa_31929840_lamp1.pdf,,
"08 Agt 2025
					19:47:28",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/2a005324d5_04a14612ed.pdf,Laporan Bulanan Registrasi Pemegang Efek [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/44b0ecc0ea_7fb73e0a72.pdf,20250807_TLKM_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31931032_lamp1.pdf,,
"12 Agt 2025
					16:03:35",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/88e320c244_bb7de2c1fb.pdf,Pemanggilan Rapat Umum Pemegang Saham Luar Biasa [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/a97d8eede7_213bf7c248.pdf,20250812_TLKM_Pemanggilan RUPS_31932461_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/fd0b260659_218049fc3b.pdf,20250812_TLKM_Pemanggilan RUPS_31932461_lamp2.pdf
"20 Agt 2025
					16:47:00",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/2e9d3938a4_79f6afdf84.pdf,Perubahan Corporate Secretary [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/1b97a81f2d_08fb71ced6.pdf,20250820_TLKM_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31934029_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/d1d648c44e_84bd1d5300.pdf,20250820_TLKM_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31934029_lamp2.pdf
"27 Agt 2025
					19:37:06",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/2b8d15f394_d85bb45070.pdf,Rencana Penyelenggaraan Public Expose - Tahunan [],TLKM,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/07b997dc05_5fe9d0bfde.pdf,20250826_TLKM_Public Expose_31935194_lamp1.pdf,,
