text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2,d-iblock href 3,d-iblock 3,d-iblock href 4,d-iblock 4,d-iblock href 5,d-iblock 5
"14 Okt 2025
					21:29:23",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/87347823ce_89f825957d.pdf,Penjelasan atas Pemberitaan Media Massa [],INCO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/919e18b1e5_adcc1be90c.pdf,20251014_INCO_Tanggapan atas Permintaan Penjelasan Bursa_31967468_lamp1.pdf,,,,,,,,
"17 Okt 2025
					16:52:22",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/0db228059e_57de03cb57.pdf,Saham Hilang [],INCO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/780436a738_2ae1e011d3.pdf,20251017_INCO_Pengumuman Bursa_31968142_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/846e4d8e1a_8dc8eb6078.pdf,20251017_INCO_Pengumuman Bursa_31968142_lamp2.pdf,,,,,,
"29 Okt 2025
					15:23:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/2e5d1c1315_8f07c034cc.pdf,Penerbitan SKS Pengganti Karena Saham Hilang PT Vale Indonesia Tbk [],INCO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/dca3f77b30_7f6596cdb3.pdf,20251029_INCO_Pengumuman Bursa_31980376_lamp1.pdf,,,,,,,,
"29 Okt 2025
					16:04:16",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a72044467e_06a15f06ca.pdf,Siaran Pers Pencapaian Produksi dan Kinerja Keuangan Perseroan pada Triwulan Ketiga Tahun 2025 [],INCO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/51117b1ab8_46d9a481b7.pdf,20251029_INCO_Laporan Informasi dan Fakta Material_31980520_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/a7c28cd378_ef2cc6a1ad.pdf,20251029_INCO_Laporan Informasi dan Fakta Material_31980520_lamp3.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/cbc74560c6_9ea215d14c.pdf,20251029_INCO_Laporan Informasi dan Fakta Material_31980520_lamp4.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/cf24532c63_8d01a8fb83.pdf,20251029_INCO_Laporan Informasi dan Fakta Material_31980520_lamp2.pdf,,
"29 Okt 2025
					16:05:06",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171206-58046-0/FinancialStatement-2025-III-INCO.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],INCO,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171206-58046-0/FinancialStatement-2025-III-INCO.xlsx,FinancialStatement-2025-III-INCO.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171206-58046-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171206-58046-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220171206-58046-0/PT%20Vale%20FS%2030%20Sept%202025.pdf,PT Vale FS 30 Sept 2025.pdf,,
"27 Okt 2025
					18:14:17",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/Indeks%20Peng-00198-No.%20Peng-00198BEI.POP10-2025.pdf,"Evaluasi Indeks IDX30, LQ45, IDX80, KOMPAS100, BISNIS-27, MNC36, SMinfra18, IDXESGL []",INDEKS,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/Exchange/No.%20Peng-00198_BEI.POP_10-2025-ID.zip,No. Peng-00198_BEI.POP_10-2025-ID.zip,,,,,,,,
"10 Okt 2025
					16:22:45",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/c65465d73c_4c63b7a1dc.pdf,Laporan Bulanan Registrasi Pemegang Efek [],INDF,,,,,,,,,,
"31 Okt 2025
					16:28:30",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150709-57755-0/FinancialStatement-2025-III-INDF.pdf,Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],INDF,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150709-57755-0/FinancialStatement-2025-III-INDF.xlsx,FinancialStatement-2025-III-INDF.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150709-57755-0/INDF_KI_Surat%20Pengantar%20XBRL%209M25_251014.pdf,INDF_KI_Surat Pengantar XBRL 9M25_251014.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150709-57755-0/inlineXBRL.zip,inlineXBRL.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150709-57755-0/instance.zip,instance.zip,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/20260220150709-57755-0/ISM_Billingual_30_September_2025_.pdf,ISM_Billingual_30_September_2025_.pdf
"31 Okt 2025
					16:48:51",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/4ec74ac67c_febd73e10c.pdf,Penyampaian Siaran Pers Kinerja Keuangan PT Indofood Sukses Makmur Tbk untuk Periode yang Berakhir pada Tanggal 30 September 2025 [],INDF,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/edc1b9ac10_16b87a5e82.pdf,20251022_INDF_Laporan Informasi dan Fakta Material_31978930_lamp1.pdf,,,,,,,,
"01 Okt 2025
					09:48:38",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/e72d9e04a6_8a5dbbb314.pdf,Pengumuman Bursa Pencatatan Awal Obligasi dan Sukuk [],INKP,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/e18c2173b0_b42207bfac.pdf,20250930_INKP_Pengumuman Pencatatan Awal Obligasi dan Sukuk_31953266_lamp1.pdf,,,,,,,,
